"player","team","pos","country","season","tier"
"Paul Parker","Fulham","DF","England",1984,2
"Mick McCarthy","Manchester City","DF","Republic of Ireland",1984,2
"Billy Gilbert","Portsmouth","DF","England",1984,2
"Bobby McDonald","Oxford United","DF","Scotland",1984,2
"Neil Webb","Portsmouth","MF","England",1984,2
"Clive Wilson","Manchester City","MF","England",1984,2
"Danny Wilson","Brighton & Hove Albion","MF","Northern Ireland",1984,2
"John Aldridge","Oxford United","FW","Republic of Ireland",1984,2
"Billy Hamilton","Oxford United","FW","Northern Ireland",1984,2
"Paul Wilkinson","Grimsby Town","FW","England",1984,2
"Tony Norman","Hull City","GK","Wales",1984,3
"Gerry Forrest","Rotherham United","DF","England",1984,3
"Peter Skipper","Hull City","DF","England",1984,3
"Dave Cusack","Millwall","DF","England",1984,3
"Kenny Mower","Walsall","DF","England",1984,3
"Ian Snodin","Doncaster Rovers","MF","England",1984,3
"Stuart McCall","Bradford City","MF","Scotland",1984,3
